epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.87263,2.23995,4.78076,1.66915,0,0,0,0,2.47985,4.33913,1.8918,4.287e-05,4.287e-05,4.287e-05
2,1.31062,2.1453,4.71114,1.62498,0,0,0,0,2.03171,4.11928,1.47365,9.90397e-05,9.90397e-05,9.90397e-05
3,1.83204,1.58745,4.0037,1.18503,0.00045,0.02564,0.00024,0.00014,1.50114,3.74352,1.05304,0.000154078,0.000154078,0.000154078
4,2.37088,1.51017,3.18696,1.08471,0.00301,0.16667,0.06899,0.03622,1.45054,3.67792,1.02912,0.000207984,0.000207984,0.000207984
5,2.85689,1.51514,2.41358,1.09132,0.00405,0.21795,0.15573,0.07725,1.43895,3.61936,1.0169,0.000260758,0.000260758,0.000260758
6,3.3912,1.56157,2.16441,1.06778,0.0053,0.25641,0.23606,0.12659,1.38962,3.53024,0.98629,0.000312401,0.000312401,0.000312401
7,3.914,1.46814,1.99147,1.01942,0.00712,0.30769,0.28515,0.1944,1.40665,3.46104,0.99827,0.000362912,0.000362912,0.000362912
8,4.43047,1.45321,1.7897,1.05168,0.00806,0.30769,0.30177,0.20533,1.48319,3.4352,1.04747,0.000412291,0.000412291,0.000412291
9,4.92413,1.46813,1.66642,1.07296,0.0089,0.30769,0.30092,0.20977,1.4167,3.411,1.03033,0.000460538,0.000460538,0.000460538
10,5.44547,1.36632,1.37634,1.03439,0.00884,0.32853,0.29694,0.20363,1.4151,3.38519,1.02698,0.000507654,0.000507654,0.000507654
11,5.92156,1.30989,1.25275,1.00186,0.00896,0.29487,0.28503,0.20136,1.3281,3.32614,1.01388,0.000553637,0.000553637,0.000553637
12,6.39846,1.37244,1.17983,1.02352,0.00964,0.30769,0.28704,0.19061,1.40225,3.23699,1.03401,0.000598489,0.000598489,0.000598489
13,6.87267,1.27218,1.16742,1.00591,0.00962,0.32853,0.29032,0.19336,1.35281,3.24312,1.03446,0.00064221,0.00064221,0.00064221
14,7.33988,1.2801,1.1031,1.02016,0.00943,0.30769,0.29587,0.1901,1.33994,3.19893,1.03785,0.000684798,0.000684798,0.000684798
15,7.8196,1.27573,1.09802,1.00323,0.00862,0.34936,0.29757,0.19333,1.35784,3.05567,1.01286,0.000726255,0.000726255,0.000726255
16,8.28751,1.28819,1.0366,1.02589,0.00737,0.32853,0.30074,0.20211,1.33827,2.99937,1.01873,0.00076658,0.00076658,0.00076658
17,8.74504,1.28691,1.07083,0.99994,0.00674,0.34936,0.30307,0.19233,1.37252,2.97911,1.03376,0.000805773,0.000805773,0.000805773
18,9.24178,1.22645,1.0132,0.98198,0.98518,0.27569,0.38897,0.24636,1.3187,2.86732,1.04158,0.000843835,0.000843835,0.000843835
